Key,English Value
about.efficiency,Eficiencia
about.efficiencyDesc,Flujos de trabajo optimizados que ahorran tiempo y reducen la carga administrativa.
about.maintenanceScheduling,Programación de Mantenimiento
about.maintenanceSchedulingDesc,Planifica y programa tareas de mantenimiento recurrentes para mantener tus propiedades en las mejores condiciones.
about.missionSubtitle,Simplificando la gestión de propiedades para todos
about.missionText,"FlatMate es una plataforma moderna de gestión de propiedades diseñada para optimizar la comunicación entre administradores de propiedades e inquilinos. Nuestro objetivo es hacer que la gestión de propiedades sea simple, eficiente y transparente para todas las partes involucradas."
about.ourMission,Nuestra Misión
about.ourValues,Nuestros Valores
about.propertyManagement,Gestión de Propiedades
about.propertyManagementDesc,"Gestiona múltiples propiedades, rastrea inquilinos y mantén documentos de propiedades en una plataforma centralizada."
about.realtimeCommunication,Comunicación en Tiempo Real
about.realtimeCommunicationDesc,Mantente conectado con inquilinos y administradores de propiedades a través de nuestras herramientas de comunicación integradas.
about.reliability,Confiabilidad
about.reliabilityDesc,Una plataforma confiable en la que puedes confiar para gestionar tus propiedades.
about.ticketManagement,Gestión de Tickets
about.ticketManagementDesc,"Crea, rastrea y resuelve solicitudes de mantenimiento y problemas de manera eficiente con nuestro sistema intuitivo de tickets."
about.title,Acerca de FlatMate
about.transparency,Transparencia
about.transparencyDesc,Comunicación clara y visibilidad en todas las actividades relacionadas con la propiedad.
about.whatWeOffer,Lo Que Ofrecemos
account.comingSoon,Próximamente
account.identity,Verificación de Identidad
account.myAccount,Mi Cuenta
account.photoHint,"JPG, PNG o WEBP. Máximo 5MB."
account.photoInvalidType,Por favor sube un archivo de imagen
account.photoRemoved,Foto de perfil eliminada
account.photoTooLarge,La imagen debe ser menor a 5MB
account.photoUploaded,Foto de perfil actualizada
account.plansCredits,Planes y Créditos
account.profile,Perfil
account.profilePhoto,Foto de Perfil
account.removePhoto,Eliminar
account.uploadPhoto,Subir Foto
active,Activo
admin.actions,Acciones
admin.addRole,Agregar rol
admin.address,Dirección
admin.adminRole,Administrador
admin.allProperties,Todas las Propiedades
admin.allPropertiesDesc,Ver y gestionar todas las propiedades del sistema
admin.allTickets,Todos los Tickets
admin.allTicketsDesc,Ver y gestionar todos los tickets de todas las propiedades
admin.analytics.activeSessions,Sesiones Activas
admin.analytics.allTime,Todo el tiempo
admin.analytics.description,"Seguimiento de análisis de visitantes, métricas de uso y comportamiento del usuario"
admin.analytics.deviceBreakdown,Desglose por Dispositivo
admin.analytics.deviceBreakdownDesc,Distribución de visitantes por tipo de dispositivo
admin.analytics.devices,Dispositivos
